actividad_detalle,actividad_sector_letra,actividad_sector_detalle,anio,valor_precios_corrientes,valor_precios_constantes,,,
Impuestos,,IVA y otros impuestos a los productos,2006,40827.0236,31791.8123,,,
Productores de Bienes,A,"Agricultura, ganadería, caza y silvicultura",2007,20014.5495,15204.5053,,,
Productores de Bienes,B,Pesca y servicios conexos,2007,675.5769,554.2102,,,
Productores de Bienes,C,Explotación de minas y canteras,2007,638.0958,423.8766,,,
Productores de Bienes,D,Industria Manufacturera,2007,83939.7908,63502.0318,,,
Productores de Bienes,E,"Electricidad, gas y agua",2007,5957.7171,3323.8511,,,
Productores de Bienes,F,Construcción,2007,13894.7701,7177.7753,,,
Productores de Servicios,G,"Comercio al por mayor, al por menor, reparaciones",2007,40049.1366,28509.1887,,,
Productores de Servicios,H,Servicios de hotelería y restaurantes,2007,4147.9471,2560.2025,,,
Productores de Servicios,I,"Servicio de transporte, de almacenamiento y de comunicaciones",2007,22212.3404,17237.7343,,,
Productores de Servicios,J,Intermediación financiera y otros servicios financieros,2007,6115.2283,3971.0122,,,
Productores de Servicios,K,"Servicios inmobiliarios, empresariales y de alquiler",2007,31564.4796,19724.1799,,,
Productores de Servicios,L,"Administración pública, defensa y seguridad social obligatoria",2007,11239.4441,6138.6651,,,
Productores de Servicios,M,Enseñanza,2007,15117.2067,7019.6007,,,
Productores de Servicios,N,Servicios sociales y de salud,2007,8740.1716,4724.1557,,,
Productores de Servicios,O,"Otros servicios comunitarios, sociales y personales",2007,6476.9016,4013.7316,,,
Productores de Servicios,P,Servicios de los hogares privados que contratan servicio doméstico,2007,2122.3312,1418.7503,,,
Impuestos,,IVA y otros impuestos a los productos,2007,53933.7672,37145.8041,,,
Productores de Bienes,A,"Agricultura, ganadería, caza y silvicultura",2008,24980.3964,15401.1934,,,
Productores de Bienes,B,Pesca y servicios conexos,2008,912.8003,614.4499,,,
Productores de Bienes,C,Explotación de minas y canteras,2008,765.2410,439.9017,,,
Productores de Bienes,D,Industria Manufacturera,2008,102266.8146,65659.6706,,,
Productores de Bienes,E,"Electricidad, gas y agua",2008,5836.0771,3420.7074,,,
Productores de Bienes,F,Construcción,2008,16793.2640,7285.7301,,,
Productores de Servicios,G,"Comercio al por mayor, al por menor, reparaciones",2008,52166.2214,30090.6530,,,
Productores de Servicios,H,Servicios de hotelería y restaurantes,2008,5334.5269,2534.8996,,,
Productores de Servicios,I,"Servicio de transporte, de almacenamiento y de comunicaciones",2008,27802.4968,18057.0622,,,
Productores de Servicios,J,Intermediación financiera y otros servicios financieros,2008,7888.3267,4213.6705,,,
Productores de Servicios,K,"Servicios inmobiliarios, empresariales y de alquiler",2008,39881.2857,20380.1144,,,
Productores de Servicios,L,"Administración pública, defensa y seguridad social obligatoria",2008,16087.1385,6392.1519,,,
Productores de Servicios,M,Enseñanza,2008,21271.0963,7177.6127,,,
Productores de Servicios,N,Servicios sociales y de salud,2008,11834.6676,4895.8053,,,
Productores de Servicios,O,"Otros servicios comunitarios, sociales y personales",2008,7885.2308,4017.1583,,,
Productores de Servicios,P,Servicios de los hogares privados que contratan servicio doméstico,2008,2809.6517,1488.8451,,,
Impuestos,,IVA y otros impuestos a los productos,2008,69798.5595,38785.3560,,,
Productores de Bienes,A,"Agricultura, ganadería, caza y silvicultura",2009,17714.1912,10954.3778,,,
Productores de Bienes,B,Pesca y servicios conexos,2009,942.7666,526.7862,,,
Productores de Bienes,C,Explotación de minas y canteras,2009,840.0044,431.1676,,,
Productores de Bienes,D,Industria Manufacturera,2009,97013.6303,56818.7339,,,
Productores de Bienes,E,"Electricidad, gas y agua",2009,6132.4529,3324.3518,,,
Productores de Bienes,F,Construcción,2009,18836.3664,7126.1414,,,
Productores de Servicios,G,"Comercio al por mayor, al por menor, reparaciones",2009,54666.4550,27905.1155,,,
Productores de Servicios,H,Servicios de hotelería y restaurantes,2009,5664.5535,2452.4374,,,
Productores de Servicios,I,"Servicio de transporte, de almacenamiento y de comunicaciones",2009,30615.4384,17793.4193,,,
Productores de Servicios,J,Intermediación financiera y otros servicios financieros,2009,8818.9846,4016.9088,,,
Productores de Servicios,K,"Servicios inmobiliarios, empresariales y de alquiler",2009,47621.8593,20392.5779,,,
Productores de Servicios,L,"Administración pública, defensa y seguridad social obligatoria",2009,20249.8999,6654.7268,,,
Productores de Servicios,M,Enseñanza,2009,25903.9013,7271.2453,,,
Productores de Servicios,N,Servicios sociales y de salud,2009,15274.3874,5093.4449,,,
Productores de Servicios,O,"Otros servicios comunitarios, sociales y personales",2009,9564.3954,4103.4152,,,
Productores de Servicios,P,Servicios de los hogares privados que contratan servicio doméstico,2009,3521.2142,1552.2270,,,
Impuestos,,IVA y otros impuestos a los productos,2009,72490.0606,34496.8802,,,
Productores de Bienes,A,"Agricultura, ganadería, caza y silvicultura",2010,37365.6211,17696.8259,,,
Productores de Bienes,B,Pesca y servicios conexos,2010,1218.4479,562.6166,,,
Productores de Bienes,C,Explotación de minas y canteras,2010,1033.9796,468.7449,,,
Productores de Bienes,D,Industria Manufacturera,2010,132050.6786,64351.5351,,,
Productores de Bienes,E,"Electricidad, gas y agua",2010,6957.7141,3493.5065,,,
Productores de Bienes,F,Construcción,2010,25464.8905,7795.9583,,,
Productores de Servicios,G,"Comercio al por mayor, al por menor, reparaciones",2010,75219.3246,31703.1733,,,
Productores de Servicios,H,Servicios de hotelería y restaurantes,2010,7804.6876,2672.4540,,,
Productores de Servicios,I,"Servicio de transporte, de almacenamiento y de comunicaciones",2010,39365.5210,19450.4689,,,
Productores de Servicios,J,Intermediación financiera y otros servicios financieros,2010,10784.8165,4038.0321,,,
Productores de Servicios,K,"Servicios inmobiliarios, empresariales y de alquiler",2010,65404.0796,21407.1882,,,
Productores de Servicios,L,"Administración pública, defensa y seguridad social obligatoria",2010,25034.4965,6932.6707,,,
Productores de Servicios,M,Enseñanza,2010,30246.9197,7410.3618,,,
Productores de Servicios,N,Servicios sociales y de salud,2010,20008.8304,5249.1563,,,
Productores de Servicios,O,"Otros servicios comunitarios, sociales y personales",2010,12197.0278,4216.6023,,,
Productores de Servicios,P,Servicios de los hogares privados que contratan servicio doméstico,2010,4294.8918,1502.2215,,,
Impuestos,,IVA y otros impuestos a los productos,2010,98022.8783,39230.7795,,,
Productores de Bienes,A,"Agricultura, ganadería, caza y silvicultura",2011,51005.1832,18172.8056,,,
Productores de Bienes,B,Pesca y servicios conexos,2011,1002.8516,481.4673,,,
Productores de Bienes,C,Explotación de minas y canteras,2011,1314.6834,504.7212,,,
Productores de Bienes,D,Industria Manufacturera,2011,172777.4456,69800.1035,,,
Productores de Bienes,E,"Electricidad, gas y agua",2011,8483.4965,3638.3851,,,
Productores de Bienes,F,Construcción,2011,35354.9958,8529.1391,,,
Productores de Servicios,G,"Comercio al por mayor, al por menor, reparaciones",2011,98972.8337,34618.8966,,,
Productores de Servicios,H,Servicios de hotelería y restaurantes,2011,10878.0679,2821.9974,,,
Productores de Servicios,I,"Servicio de transporte, de almacenamiento y de comunicaciones",2011,49708.4361,20477.3743,,,
Productores de Servicios,J,Intermediación financiera y otros servicios financieros,2011,14066.4794,4439.5045,,,
Productores de Servicios,K,"Servicios inmobiliarios, empresariales y de alquiler",2011,87355.6803,22291.2821,,,
Productores de Servicios,L,"Administración pública, defensa y seguridad social obligatoria",2011,35442.5255,7236.7329,,,
Productores de Servicios,M,Enseñanza,2011,40934.9476,7642.2228,,,
Productores de Servicios,N,Servicios sociales y de salud,2011,27810.8575,5497.3967,,,
Productores de Servicios,O,"Otros servicios comunitarios, sociales y personales",2011,16138.4227,4348.5962,,,
Productores de Servicios,P,Servicios de los hogares privados que contratan servicio doméstico,2011,5707.6013,1538.5068,,,
Impuestos,,IVA y otros impuestos a los productos,2011,128339.7567,42976.9535,,,
Productores de Bienes,A,"Agricultura, ganadería, caza y silvicultura",2012,53820.0041,17378.0717,,,
Productores de Bienes,B,Pesca y servicios conexos,2012,1020.3883,432.8532,,,
Productores de Bienes,C,Explotación de minas y canteras,2012,1626.1031,512.7601,,,
Productores de Bienes,D,Industria Manufacturera,2012,202348.1912,69261.9500,,,
Productores de Bienes,E,"Electricidad, gas y agua",2012,7802.6296,3750.2396,,,
Productores de Bienes,F,Construcción,2012,45862.3270,8361.5484,,,
Productores de Servicios,G,"Comercio al por mayor, al por menor, reparaciones",2012,118965.9276,34085.9485,,,
Productores de Servicios,H,Servicios de hotelería y restaurantes,2012,14423.6901,2883.9304,,,
Productores de Servicios,I,"Servicio de transporte, de almacenamiento y de comunicaciones",2012,59910.2367,20484.1108,,,
Productores de Servicios,J,Intermediación financiera y otros servicios financieros,2012,19032.9191,4763.3545,,,
Productores de Servicios,K,"Servicios inmobiliarios, empresariales y de alquiler",2012,113013.9053,22588.9908,,,
Productores de Servicios,L,"Administración pública, defensa y seguridad social obligatoria",2012,45203.8483,7339.8320,,,
Productores de Servicios,M,Enseñanza,2012,50892.3961,7777.4467,,,
Productores de Servicios,N,Servicios sociales y de salud,2012,36922.9481,5568.2006,,,
Productores de Servicios,O,"Otros servicios comunitarios, sociales y personales",2012,20534.8018,4386.9548,,,
Productores de Servicios,P,Servicios de los hogares privados que contratan servicio doméstico,2012,7677.2523,1607.7433,,,
Impuestos,,IVA y otros impuestos a los productos,2012,155458.8152,43270.3611,,,
Productores de Bienes,A,"Agricultura, ganadería, caza y silvicultura",2013,63101.8301,18302.2188,,,
Productores de Bienes,B,Pesca y servicios conexos,2013,2077.2585,574.9487,,,
Productores de Bienes,C,Explotación de minas y canteras,2013,1987.4495,525.5578,,,
Productores de Bienes,D,Industria Manufacturera,2013,254064.1497,71442.5220,,,
Productores de Bienes,E,"Electricidad, gas y agua",2013,16235.1217,3770.9019,,,
Productores de Bienes,F,Construcción,2013,54958.2440,8367.7157,,,
Productores de Servicios,G,"Comercio al por mayor, al por menor, reparaciones",2013,151695.3830,35187.5911,,,
Productores de Servicios,H,Servicios de hotelería y restaurantes,2013,17638.7861,2808.8287,,,
Productores de Servicios,I,"Servicio de transporte, de almacenamiento y de comunicaciones",2013,74731.7025,20947.7618,,,
Productores de Servicios,J,Intermediación financiera y otros servicios financieros,2013,22510.1676,4818.5999,,,
Productores de Servicios,K,"Servicios inmobiliarios, empresariales y de alquiler",2013,144208.4839,23030.1193,,,
Productores de Servicios,L,"Administración pública, defensa y seguridad social obligatoria",2013,55775.5078,7550.5336,,,
Productores de Servicios,M,Enseñanza,2013,60584.3366,7910.9773,,,
Productores de Servicios,N,Servicios sociales y de salud,2013,46855.8367,5620.6180,,,
Productores de Servicios,O,"Otros servicios comunitarios, sociales y personales",2013,25745.9747,4372.6463,,,
Productores de Servicios,P,Servicios de los hogares privados que contratan servicio doméstico,2013,10308.8915,1663.1586,,,
Impuestos,,IVA y otros impuestos a los productos,2013,193556.5406,44644.6178,,,
Productores de Bienes,A,"Agricultura, ganadería, caza y silvicultura",2014,89840.6386,17724.3055,,,
Productores de Bienes,B,Pesca y servicios conexos,2014,2713.5820,541.2389,,,
Productores de Bienes,C,Explotación de minas y canteras,2014,2546.7406,531.4491,,,
Productores de Bienes,D,Industria Manufacturera,2014,343927.4294,70546.7470,,,
Productores de Bienes,E,"Electricidad, gas y agua",2014,22209.7399,3771.7416,,,
Productores de Bienes,F,Construcción,2014,71268.8959,8302.8601,,,
Productores de Servicios,G,"Comercio al por mayor, al por menor, reparaciones",2014,206062.5490,33119.2230,,,
Productores de Servicios,H,Servicios de hotelería y restaurantes,2014,23933.3945,2748.4288,,,
Productores de Servicios,I,"Servicio de transporte, de almacenamiento y de comunicaciones",2014,101508.4036,21038.5331,,,
Productores de Servicios,J,Intermediación financiera y otros servicios financieros,2014,33523.2440,4792.0816,,,
Productores de Servicios,K,"Servicios inmobiliarios, empresariales y de alquiler",2014,194974.0818,23185.8833,,,
Productores de Servicios,L,"Administración pública, defensa y seguridad social obligatoria",2014,75081.4221,7616.7456,,,
Productores de Servicios,M,Enseñanza,2014,77862.9050,8059.1182,,,
Productores de Servicios,N,Servicios sociales y de salud,2014,66047.1575,5987.8724,,,
Productores de Servicios,O,"Otros servicios comunitarios, sociales y personales",2014,33883.1593,4318.4372,,,
Productores de Servicios,P,Servicios de los hogares privados que contratan servicio doméstico,2014,13667.5145,1687.4841,,,
Impuestos,,IVA y otros impuestos a los productos,2014,267613.0369,42665.0052,,,
Productores de Bienes,A,"Agricultura, ganadería, caza y silvicultura",2015,98211.7202,19439.7695,,,
Productores de Bienes,B,Pesca y servicios conexos,2015,3444.7096,554.1591,,,
Productores de Bienes,C,Explotación de minas y canteras,2015,3321.9685,543.7620,,,
Productores de Bienes,D,Industria Manufacturera,2015,413748.8930,67725.5913,,,
Productores de Bienes,E,"Electricidad, gas y agua",2015,25651.4554,3845.2010,,,
Productores de Bienes,F,Construcción,2015,94705.9018,8588.1448,,,
Productores de Servicios,G,"Comercio al por mayor, al por menor, reparaciones",2015,289321.0234,33669.3362,,,
Productores de Servicios,H,Servicios de hotelería y restaurantes,2015,32558.8288,2799.4110,,,
Productores de Servicios,I,"Servicio de transporte, de almacenamiento y de comunicaciones",2015,129259.1793,21428.6610,,,
Productores de Servicios,J,Intermediación financiera y otros servicios financieros,2015,42315.5581,4787.7408,,,
Productores de Servicios,K,"Servicios inmobiliarios, empresariales y de alquiler",2015,236678.1233,23361.2540,,,
Productores de Servicios,L,"Administración pública, defensa y seguridad social obligatoria",2015,109105.1104,7927.8653,,,
Productores de Servicios,M,Enseñanza,2015,105040.7503,8332.3226,,,
Productores de Servicios,N,Servicios sociales y de salud,2015,94453.9176,6284.5832,,,
Productores de Servicios,O,"Otros servicios comunitarios, sociales y personales",2015,46568.4309,4517.7509,,,
Productores de Servicios,P,Servicios de los hogares privados que contratan servicio doméstico,2015,18355.8559,1718.2228,,,
Impuestos,,IVA y otros impuestos a los productos,2015,337807.5542,43493.1507,,,
Productores de Bienes,A,"Agricultura, ganadería, caza y silvicultura",2016,170970.8767,20827.2143,,,
Productores de Bienes,B,Pesca y servicios conexos,2016,4778.8576,483.5954,,,
Productores de Bienes,C,Explotación de minas y canteras,2016,4062.0565,544.8935,,,
Productores de Bienes,D,Industria Manufacturera,2016,528418.6254,61267.3756,,,
Productores de Bienes,E,"Electricidad, gas y agua",2016,55913.6494,3865.8932,,,
Productores de Bienes,F,Construcción,2016,114693.6424,7706.6701,,,
Productores de Servicios,G,"Comercio al por mayor, al por menor, reparaciones",2016,384420.1636,33067.5507,,,
Productores de Servicios,H,Servicios de hotelería y restaurantes,2016,43690.9559,2828.4769,,,
Productores de Servicios,I,"Servicio de transporte, de almacenamiento y de comunicaciones",2016,169497.2934,21408.0950,,,
Productores de Servicios,J,Intermediación financiera y otros servicios financieros,2016,70730.0317,4621.3840,,,
Productores de Servicios,K,"Servicios inmobiliarios, empresariales y de alquiler",2016,331460.5484,23575.3997,,,
Productores de Servicios,L,"Administración pública, defensa y seguridad social obligatoria",2016,151576.5054,8098.1685,,,
Productores de Servicios,M,Enseñanza,2016,138399.5540,8592.5040,,,
Productores de Servicios,N,Servicios sociales y de salud,2016,137660.7534,6969.9256,,,
Productores de Servicios,O,"Otros servicios comunitarios, sociales y personales",2016,61295.8429,4570.3360,,,
Productores de Servicios,P,Servicios de los hogares privados que contratan servicio doméstico,2016,24480.6621,1721.8301,,,
Impuestos,,IVA y otros impuestos a los productos,2016,461439.8423,43909.1174,,,
Productores de Bienes,A,"Agricultura, ganadería, caza y silvicultura",2017,178662.9636,19616.4756,,,
Productores de Bienes,B,Pesca y servicios conexos,2017,5286.6091,491.2595,,,
Productores de Bienes,C,Explotación de minas y canteras,2017,5362.9198,601.1107,,,
Productores de Bienes,D,Industria Manufacturera,2017,634330.6536,62704.5473,,,
Productores de Bienes,E,"Electricidad, gas y agua",2017,74725.4987,3830.5833,,,
Productores de Bienes,F,Construcción,2017,178074.4718,9061.7984,,,
Productores de Servicios,G,"Comercio al por mayor, al por menor, reparaciones",2017,488022.1871,33741.9727,,,
Productores de Servicios,H,Servicios de hotelería y restaurantes,2017,59637.9811,2898.0308,,,
Productores de Servicios,I,"Servicio de transporte, de almacenamiento y de comunicaciones",2017,221350.8162,21892.0611,,,
Productores de Servicios,J,Intermediación financiera y otros servicios financieros,2017,94399.0255,4860.0884,,,
Productores de Servicios,K,"Servicios inmobiliarios, empresariales y de alquiler",2017,446847.1769,24187.8653,,,
Productores de Servicios,L,"Administración pública, defensa y seguridad social obligatoria",2017,181201.8614,8158.3971,,,
Productores de Servicios,M,Enseñanza,2017,177516.5987,8656.4169,,,
Productores de Servicios,N,Servicios sociales y de salud,2017,181448.5581,7145.8537,,,
Productores de Servicios,O,"Otros servicios comunitarios, sociales y personales",2017,78603.5995,4554.6905,,,
Productores de Servicios,P,Servicios de los hogares privados que contratan servicio doméstico,2017,31675.6492,1694.3073,,,
Impuestos,,IVA y otros impuestos a los productos,2017,590859.5009,45856.2087,,,
Productores de Servicios,L,"Administración pública, defensa y seguridad social obligatoria",2018,235096.2845,8111.2442,,,
Productores de Bienes,A,"Agricultura, ganadería, caza y silvicultura",2018,258534.9853,17019.1313,,,
Productores de Servicios,G,"Comercio al por mayor, al por menor, reparaciones",2018,703280.1422,31927.6397,,,
Productores de Bienes,F,Construcción,2018,230523.0521,9291.0769,,,
Productores de Bienes,E,"Electricidad, gas y agua",2018,153820.8085,3806.1807,,,
Productores de Servicios,M,Enseñanza,2018,229134.6587,8730.3735,,,
Productores de Bienes,C,Explotación de minas y canteras,2018,8131.2764,663.0918,,,
Productores de Bienes,D,Industria Manufacturera,2018,920011.6922,58364.5637,,,
Productores de Servicios,J,Intermediación financiera y otros servicios financieros,2018,114142.3862,5043.0457,,,
Impuestos,,IVA y otros impuestos a los productos,2018,807563.2291,43547.4223,,,
Productores de Servicios,O,"Otros servicios comunitarios, sociales y personales",2018,104084.5689,4749.5752,,,
Productores de Bienes,B,Pesca y servicios conexos,2018,9320.5355,457.3431,,,
Productores de Servicios,I,"Servicio de transporte, de almacenamiento y de comunicaciones",2018,320935.2969,21266.7410,,,
Productores de Servicios,H,Servicios de hotelería y restaurantes,2018,76999.7912,2895.5451,,,
Productores de Servicios,P,Servicios de los hogares privados que contratan servicio doméstico,2018,41495.2073,1728.5665,,,
Productores de Servicios,K,"Servicios inmobiliarios, empresariales y de alquiler",2018,628368.9586,24553.4843,,,
Productores de Servicios,N,Servicios sociales y de salud,2018,247106.6226,7204.7869,,,
Productores de Servicios,,IVA y otros impuestos a los productos,2019,1252821.6131,41991.5677,,,
Productores de Bienes,A,"Agricultura, ganadería, caza y silvicultura ",2019,464137.8765,21182.7916,,,
Productores de Servicios,B,Pesca y servicios conexos ,2019,15123.9142,478.8501,,,
Productores de Bienes,C,Explotación de minas y canteras ,2019,11512.2001,650.6061,,,
Productores de Bienes,D,Industria Manufacturera ,2019,1356026.4365,54089.3459,,,
Productores de Servicios,E,"Electricidad, gas y agua ",2019,205946.9172,3702.0349,,,
Productores de Bienes,F,Construcción ,2019,315005.6740,8660.4515,,,
Productores de Bienes,G,"Comercio al por mayor, al por menor, reparaciones ",2019,1048811.8224,30773.8821,,,
Productores de Servicios,H,Servicios de hotelería y restaurantes ,2019,108426.1540,2849.7384,,,
Impuestos,I,"Servicio de transporte, de almacenamiento y de comunicaciones ",2019,486088.9523,20945.4856,,,
Productores de Servicios,J,Intermediación financiera y otros servicios financieros ,2019,155849.5820,4428.3143,,,
Productores de Bienes,K,"Servicios inmobiliarios, empresariales y de alquiler ",2019,855360.6422,24663.2430,,,
Productores de Servicios,L,"Administración pública, defensa y seguridad social obligatoria ",2019,335802.8100,8004.4253,,,
Productores de Servicios,M,Enseñanza ,2019,341230.7342,8574.9029,,,
Productores de Servicios,N,Servicios sociales y de salud ,2019,356570.1907,7309.6299,,,
Productores de Servicios,O,"Otros servicios comunitarios, sociales y personales ",2019,147579.1780,4678.3677,,,
Productores de Servicios,P,Servicios de los hogares privados que contratan servicio doméstico ,2019,60234.6984,1833.6775,,,
Productores de Servicios,,IVA y otros impuestos a los productos,2020,1618971.6137,37691.0258,,,
Productores de Bienes,A,"Agricultura, ganadería, caza y silvicultura ",2020,725381.9420,19609.5668,,,
Productores de Servicios,B,Pesca y servicios conexos ,2020,24971.9810,555.8913,,,
Productores de Bienes,C,Explotación de minas y canteras ,2020,13318.1351,523.5199,,,
Productores de Bienes,D,Industria Manufacturera ,2020,1776959.8550,48774.7781,,,
Productores de Servicios,E,"Electricidad, gas y agua ",2020,238856.3581,3760.0737,,,
Productores de Bienes,F,Construcción ,2020,357114.0685,7108.4370,,,
Productores de Bienes,G,"Comercio al por mayor, al por menor, reparaciones ",2020,1456708.0817,28891.6933,,,
Productores de Servicios,H,Servicios de hotelería y restaurantes ,2020,81354.4018,1507.4077,,,
Impuestos,I,"Servicio de transporte, de almacenamiento y de comunicaciones ",2020,527412.4789,16779.4269,,,
Productores de Servicios,J,Intermediación financiera y otros servicios financieros ,2020,238397.7750,4374.7340,,,
Productores de Bienes,K,"Servicios inmobiliarios, empresariales y de alquiler ",2020,1112216.6515,24577.6629,,,
Productores de Servicios,L,"Administración pública, defensa y seguridad social obligatoria ",2020,408863.9689,7477.0688,,,
Productores de Servicios,M,Enseñanza ,2020,475929.3496,8150.6878,,,
Productores de Servicios,N,Servicios sociales y de salud ,2020,442881.8861,6590.9410,,,
Productores de Servicios,O,"Otros servicios comunitarios, sociales y personales ",2020,169470.0270,3474.2781,,,
Productores de Servicios,P,Servicios de los hogares privados que contratan servicio doméstico ,2020,69581.3154,1508.7978,,,
Impuestos,,IVA y otros impuestos a los productos,2021,2730188.1607,41786.9507,,,
Productores de Bienes,A,"Agricultura, ganadería, caza y silvicultura ",2021,1271782.1619,19322.2088,,,
Productores de Servicios,B,Pesca y servicios conexos ,2021,30864.8535,482.2529,,,
Productores de Bienes,C,Explotación de minas y canteras ,2021,25459.2864,625.1021,,,
Productores de Bienes,D,Industria Manufacturera ,2021,3246871.7394,57464.5754,,,
Productores de Servicios,E,"Electricidad, gas y agua ",2021,342991.4405,3978.6453,,,
Productores de Bienes,F,Construcción ,2021,726146.0308,10176.7742,,,
Productores de Bienes,G,"Comercio al por mayor, al por menor, reparaciones ",2021,2519486.1971,32047.5126,,,
Productores de Servicios,H,Servicios de hotelería y restaurantes ,2021,154563.2759,1934.1949,,,
Impuestos,I,"Servicio de transporte, de almacenamiento y de comunicaciones ",2021,863980.6969,19762.4617,,,
Productores de Servicios,J,Intermediación financiera y otros servicios financieros ,2021,319151.3385,4390.4836,,,
Productores de Bienes,K,"Servicios inmobiliarios, empresariales y de alquiler ",2021,1650500.1229,25611.8296,,,
Productores de Servicios,L,"Administración pública, defensa y seguridad social obligatoria ",2021,667345.1656,7834.2139,,,
Productores de Servicios,M,Enseñanza ,2021,714158.7969,8304.9569,,,
Productores de Servicios,N,Servicios sociales y de salud ,2021,710670.3983,7050.8562,,,
Productores de Servicios,O,"Otros servicios comunitarios, sociales y personales ",2021,286667.4753,4081.6685,,,
Productores de Servicios,P,Servicios de los hogares privados que contratan servicio doméstico ,2021,103607.2466,1591.2338,,,
Impuestos,,IVA y otros impuestos a los productos,2022,4690105.1685,44514.3446,,,
